FID_1,STATE,COUNTY,CITY,LATITUDE,LONGITUD,OBJECTID,ICOUNT,Distance
3071,6,17,0,38.68876111,-120.61495000,12886,3,5184.55533550
3378,6,61,200,38.87231944,-121.08829722,12892,3,2842.28258023
2988,6,61,0,38.93905000,-121.05216111,12912,3,925.83475268
3368,6,57,0,39.16456111,-121.05718056,12962,3,3905.40004657
3201,6,57,0,39.28586944,-120.95230556,12984,3,5622.03391332
3007,6,115,0,39.49495000,-121.03023611,12987,3,6828.40931391
3305,6,115,0,39.41013333,-121.12559722,12987,3,6066.33147370
3353,6,57,0,39.32751944,-120.57131111,12997,3,2742.13189063
3322,6,57,0,39.38411389,-120.08280833,13004,4,9365.51272105
2922,6,63,0,39.79587500,-120.64026944,13011,3,2229.74435203
3412,6,27,0,36.89348889,-117.27836667,13246,3,14104.91892007
2938,6,45,0,39.40441667,-123.38625000,13480,3,2369.32001020
3199,6,45,4210,39.41909722,-123.35485278,13486,3,773.29786319
3104,6,45,0,39.88731389,-123.74060278,13491,3,3182.19300502
3208,6,105,0,40.37146389,-123.31071944,13496,3,2398.22305404
3442,6,105,0,40.28389722,-123.39315833,13496,3,14390.00889288
3100,6,21,2590,39.74022778,-122.19728611,13513,4,792.34025689
3072,6,103,0,40.01980000,-122.35760000,13566,3,13092.81570499
3428,6,7,0,39.67896944,-121.78011111,13586,4,4368.84241331
2915,6,7,0,39.75563889,-121.73820000,13615,3,6234.96516316
3182,6,7,0,39.91743056,-121.65261111,13624,3,14614.37289966
3162,6,103,0,40.20105000,-122.24238889,13666,3,250.84107685
2964,6,89,0,40.51575556,-122.08033611,13705,3,3862.71987100
3361,6,89,2950,40.56378056,-122.34815833,13743,4,1242.80880361
2895,6,89,0,40.42623889,-121.88253889,13781,3,15798.43548612
3090,6,23,0,40.50518611,-124.10731389,13787,3,5786.31262778
2905,6,23,0,40.82056389,-124.09362222,13824,3,4280.09142234
3158,6,23,0,40.95618889,-124.11440000,13844,3,6255.04179376
3006,6,23,0,41.00535833,-123.64915000,13849,3,7515.02846376
3011,6,63,0,40.31477778,-121.05674167,13942,3,903.73417630
3036,6,35,0,40.42261111,-120.68854722,13960,3,3511.87936863
2894,6,35,0,40.37423056,-120.63261944,13963,3,3551.63707786
3211,6,35,0,40.64190000,-120.28180000,13981,3,29066.88543792
3031,6,49,0,41.31878611,-120.50753056,14007,3,19844.24782627
3153,6,15,0,41.93542222,-124.17218056,14025,3,6724.10853406
3021,6,93,0,41.99035000,-121.59526944,14478,3,21845.50508570
3779,6,73,3260,32.57656389,-117.08268333,533,3,855.53614823
3499,6,73,2340,32.65167778,-117.09818056,537,4,494.56153524
3761,6,73,3260,32.72564167,-117.22360556,555,3,275.82817382
3722,6,73,3260,32.69805000,-117.11429167,584,3,607.74785255
3755,6,73,3260,32.70615278,-117.14963056,591,3,632.78376972
3681,6,73,3260,32.75229444,-117.20389167,653,3,119.86395968
3533,6,73,3260,32.74845000,-117.19480000,658,3,325.03553300
3510,6,73,3260,32.75771111,-117.20375000,661,3,122.46084063
3493,6,73,3260,32.79413611,-117.19020556,684,3,1657.15308807
3638,6,73,3260,32.77415000,-117.16131944,700,4,367.56941768
3703,6,73,3260,32.84198889,-117.23631944,734,4,454.93147649
3661,6,73,560,33.07153889,-117.24311111,794,3,3204.32498284
3899,6,73,2510,33.20022778,-117.37239444,811,4,120.81202536
3873,6,73,0,33.26291111,-117.23691111,839,3,2767.62565253
3545,6,59,0,33.65230278,-117.97962222,854,3,842.35334260
3452,6,59,3420,33.71270278,-117.91977778,891,4,141.81569395
3909,6,59,1345,33.72059167,-117.92033611,891,4,762.78029413
3707,6,37,1970,33.78986111,-118.16622222,1015,3,792.35595565
3844,6,37,1970,33.81164167,-118.19813333,1019,4,941.41536419
3532,6,37,2929,33.80390000,-118.39051667,1023,3,190.71957003
3659,6,37,1980,33.79779167,-118.29746667,1038,3,77.09368414
3692,6,37,3870,33.87366111,-118.34240000,1081,4,156.01512952
3960,6,37,1970,33.87374167,-118.20260278,1202,4,194.32875358
3573,6,37,1400,33.90191944,-118.31155833,1239,4,369.03358076
3618,6,37,1400,33.90918889,-118.30132222,1248,4,976.20862607
3604,6,37,1980,33.91605000,-118.28773611,1258,4,252.61804044
3570,6,37,0,33.92011111,-118.23906111,1291,3,1056.26202047
