STATE,COUNTY,LATITUDE,LONGITUDE
1,127,33.8051,-87.1335
1,3,30.6039,-87.8648
1,15,33.6931,-85.6766
1,69,31.2656,-85.6235
1,77,34.9895,-87.2258
1,9,33.9433,-86.4171
1,75,33.8034,-88.1171
1,15,33.6415,-85.8851
1,125,33.1424,-87.4451
1,97,30.9829,-88.2389
1,61,31.1786,-85.8267
1,21,32.8167,-86.6732
1,101,32.3234,-86.2383
1,9,34.2277,-86.5194
1,99,31.2585,-87.6218
1,109,31.9023,-86.0116
1,85,32.2703,-86.513
1,103,34.6081,-86.9793
1,97,30.4536,-88.241
1,103,34.5389,-86.9149
1,25,31.7469,-87.9262
1,59,34.3182,-87.6961
1,73,33.3763,-86.805
1,73,33.6122,-86.6876
1,73,33.654,-86.6405
1,125,33.2883,-87.1959
1,89,34.7419,-86.554
1,49,34.2629,-85.8595
1,97,30.5889,-88.2074
1,3,30.6581,-87.8175
1,125,33.2391,-87.5766
1,97,30.6762,-88.1302
1,97,30.687,-88.2111
1,97,30.6418,-88.088
1,3,30.2672,-87.597
1,97,30.6606,-88.1089
1,97,30.6083,-88.0749
1,89,34.779,-86.6729
1,125,33.2654,-87.6026
1,97,30.7293,-88.1614
1,123,32.6709,-85.8872
1,19,34.1258,-85.6646
1,73,33.2778,-86.947
1,51,32.6189,-85.9518
1,83,34.8312,-87.1659
1,125,33.0753,-87.5852
1,15,33.6379,-85.903
1,121,33.4516,-86.09
1,53,31.1181,-87.4695
1,17,32.8522,-85.271
1,43,34.1828,-86.7772
1,95,34.3829,-86.4541
1,59,34.4887,-87.9409
1,117,33.3162,-86.817
1,51,32.5528,-86.292
1,79,34.5565,-87.3309
1,95,34.2326,-86.277
1,89,34.8836,-86.7171
1,43,34.2268,-86.5469
1,69,31.1526,-85.1004
1,21,32.9191,-86.6467
1,39,31.3138,-86.4098
1,109,31.9063,-86.0117
1,49,34.4444,-85.7764
1,95,34.2266,-86.1614
1,71,34.9365,-85.7581
1,53,31.0126,-87.4905
1,73,33.4411,-86.9427
1,81,32.5531,-85.5288
1,99,31.5216,-87.3343
1,101,32.3147,-86.3502
1,17,33.0988,-85.3442
1,125,33.2874,-87.183
1,125,33.1995,-87.4737
1,55,34.015,-86.0078
1,73,33.4842,-86.9189
1,3,30.3906,-87.6833
1,69,31.2384,-85.5064
1,3,30.2797,-87.6516
1,73,33.4252,-87.0034
1,59,34.4853,-87.8286
1,3,30.3557,-87.6691
1,89,34.6589,-86.4969
1,89,34.9806,-86.4077
1,89,34.7892,-86.5364
1,111,33.4691,-85.6012
1,37,33.0931,-86.2132
1,43,34.0667,-86.7625
1,115,33.5415,-86.4397
1,115,33.9444,-86.1672
1,117,33.094,-86.7815
1,89,34.6127,-86.5671
1,127,33.7904,-87.2397
1,125,33.2669,-87.7184
1,9,33.828,-86.4589
1,113,32.4589,-85.1798
1,89,34.8069,-86.774
1,89,34.9614,-86.568
1,71,34.6213,-86.0968
1,73,33.5156,-86.8697
1,3,30.5236,-87.8101
1,65,32.5471,-87.5632
1,97,30.4709,-88.3069
1,97,30.5081,-88.3765
1,127,33.8584,-87.1735
1,95,34.5017,-86.3015
1,125,33.3451,-87.328
1,69,31.1829,-85.3313
1,73,33.3322,-86.9257
1,49,34.3185,-85.8471
1,3,30.4069,-87.6274
1,35,31.368,-87.1779
1,69,31.1359,-85.1762
1,47,32.4505,-86.898
1,97,30.5347,-88.2446
1,3,30.4186,-87.847
1,61,31.0688,-85.5677
1,97,30.4775,-88.1692
1,109,31.7722,-85.894
1,11,32.0739,-85.4961
1,51,32.5021,-86.1874
1,121,33.4036,-86.1937
1,17,32.8176,-85.217
1,3,30.9357,-87.6835
1,81,32.7048,-85.3106
1,15,33.6486,-85.6511
1,41,32.0251,-86.3682
1,47,32.3012,-87.2499
1,21,32.817,-86.9664
1,69,31.0854,-85.4055
1,89,34.8523,-86.517
1,47,32.4357,-87.0835
1,13,31.9605,-86.542
1,125,33.2372,-87.5647
1,121,33.1732,-86.2507
1,19,34.2533,-85.5235
1,49,34.5054,-85.7546
1,53,31.1805,-87.1039
1,97,30.48,-88.1675
1,19,34.3633,-85.6075
1,29,33.5622,-85.7335
1,45,31.2103,-85.7916
1,99,31.3565,-87.387
1,111,33.1317,-85.4733
1,1,32.4836,-86.5351
1,59,34.3873,-88.0593
1,33,34.6478,-87.6536
1,71,34.8357,-85.6388
1,133,34.121,-87.4378
1,97,31.0611,-88.0247
1,51,32.7426,-86.1032
1,107,33.4183,-88.0082
1,33,34.6178,-87.6555
1,97,30.8946,-88.0392
1,55,33.9162,-86.1038
1,45,31.3462,-85.4848
1,73,33.3942,-86.971
1,23,32.1173,-88.3582
1,103,34.5591,-86.9633
1,127,33.7998,-87.0136
1,71,34.7322,-86.1165
1,69,31.2407,-85.3676
1,89,34.6915,-86.5682
1,69,31.0528,-85.272
1,103,34.6199,-87.0558
1,111,33.2055,-85.2562
