STATE,COUNTY,LATITUDE,LONGITUDE
1,81,32.64106389,-85.35469167
1,35,31.43044722,-86.95669444
1,97,30.69163056,-88.08577778
1,115,33.86870000,-86.29116389
1,117,33.30974167,-86.78722222
1,21,32.78581389,-86.57450833
1,97,30.46146389,-88.29401944
1,9,33.99555556,-86.43900278
1,51,32.70871667,-86.14818611
1,113,32.25259444,-85.00338333
1,95,34.32906111,-86.16592222
1,91,31.99410000,-87.86773056
1,125,33.06655000,-87.53685278
1,9,33.88872778,-86.76163056
1,47,32.58800833,-86.92938056
1,127,33.69823889,-87.25543611
1,19,34.23519444,-85.79175278
1,99,31.50969444,-87.48523611
1,101,32.03341944,-86.03257222
1,43,34.20842222,-87.05831944
1,95,34.21050556,-86.28487222
1,55,34.07256944,-85.91920000
1,103,34.54016667,-86.91805833
1,49,34.25094722,-86.10614167
1,97,30.46113611,-88.25905833
1,101,32.12425278,-86.27341389
1,109,31.66762778,-85.83286667
1,43,34.18200556,-86.64188056
1,43,34.23168333,-86.61481667
1,85,32.17258889,-86.67206944
1,127,33.77533611,-87.46370278
1,115,33.70572222,-86.40302222
1,53,31.00506667,-87.58129167
1,29,33.62872500,-85.55716667
1,73,33.53526944,-86.69771944
1,131,32.00395556,-87.31188056
1,95,34.25121389,-86.25799167
1,35,31.42496389,-87.13844722
1,81,32.47539167,-85.36676389
1,113,32.45680833,-85.18741111
1,97,30.77587500,-88.18546667
1,127,33.87975833,-87.16157778
1,105,32.58449167,-87.34401111
1,97,30.76025833,-88.15321944
1,51,32.61890000,-86.22354722
1,123,32.82171389,-85.59425833
1,89,34.72885556,-86.48895556
1,27,33.49440833,-85.68269444
1,83,34.76536111,-86.87728056
1,77,34.95782500,-87.52741389
1,71,34.69036667,-86.00071944
1,15,33.64933611,-85.72008611
1,77,34.89723889,-87.53185278
1,77,34.90518611,-87.82072778
1,3,30.56756944,-87.64526111
1,117,33.36529167,-86.71638056
1,55,34.05106944,-85.81016389
1,121,33.53010833,-85.94894722
1,55,34.02737500,-86.11078611
1,103,34.61162222,-86.97446944
1,9,34.17349167,-86.53890000
1,83,34.66890833,-86.95017778
1,55,34.02105833,-86.11753333
1,11,32.26628611,-85.94693611
1,71,34.93194722,-85.59740000
1,97,30.71966667,-88.14390000
1,83,34.62860833,-86.94285000
1,35,31.41861111,-87.00978889
1,5,31.87659167,-85.23907778
1,73,33.41061389,-86.97054167
1,85,32.32568056,-86.73812222
1,21,32.87381944,-86.65406111
1,39,31.26417500,-86.22892778
1,125,33.17044167,-87.37550278
1,97,30.65161944,-88.20765000
1,97,30.79537778,-88.07703889
1,63,32.77789444,-88.05328611
1,115,33.86401944,-86.10808333
1,117,33.31984167,-86.78858056
1,33,34.73163333,-87.86328889
1,73,33.52010000,-86.85557222
1,73,33.37401111,-86.82911389
1,127,33.87740278,-87.24970000
1,55,34.10185000,-86.26273333
1,65,32.69951667,-87.55096667
