STATE,COUNTY,LATITUDE,LONGITUDE
1.0000,21.0000,32.99277778,-86.71446944
1.0000,71.0000,34.72076389,-85.93703333
1.0000,51.0000,32.56153333,-85.96355833
1.0000,111.0000,33.18450278,-85.36001944
1.0000,13.0000,31.63844167,-86.78737778
1.0000,101.0000,32.24908611,-86.09331111
1.0000,43.0000,34.22475833,-86.82931944
1.0000,61.0000,31.14998333,-85.87290278
1.0000,63.0000,32.98358056,-87.79366111
1.0000,119.0000,32.70209722,-88.14169722
1.0000,15.0000,33.67965000,-85.69808056
1.0000,57.0000,33.58250833,-87.89813611
1.0000,73.0000,33.74876389,-86.85873056
1.0000,85.0000,32.13989167,-86.44307778
1.0000,97.0000,30.45067500,-88.16822500
1.0000,97.0000,30.70700556,-88.07974167
1.0000,3.0000,30.65538056,-87.91400556
1.0000,97.0000,30.52098889,-88.26903056
1.0000,97.0000,30.76143333,-88.22469167
1.0000,61.0000,31.01944722,-86.00619722
1.0000,17.0000,32.82680000,-85.17436111
1.0000,23.0000,32.25142500,-88.12615833
1.0000,97.0000,30.67626111,-88.16954444
1.0000,93.0000,34.17366389,-88.06355000
1.0000,115.0000,33.60311389,-86.30056944
1.0000,3.0000,,
1.0000,125.0000,33.28353889,-87.08374722
1.0000,73.0000,33.65154444,-86.84558056
1.0000,9.0000,33.82127778,-86.71978333
1.0000,15.0000,33.73744167,-85.88203056
1.0000,109.0000,31.79897500,-85.98322222
1.0000,3.0000,30.35546944,-87.72967222
1.0000,25.0000,31.72745556,-87.91249722
1.0000,57.0000,33.72698611,-87.85645000
1.0000,101.0000,32.37153333,-86.37507778
1.0000,125.0000,33.13450278,-87.63868889
1.0000,125.0000,33.17052778,-87.53979167
1.0000,101.0000,32.37271111,-86.34931389
1.0000,47.0000,32.32726389,-87.21306389
1.0000,91.0000,32.34857778,-87.64145556
1.0000,79.0000,34.65417222,-87.25534444
1.0000,43.0000,34.22596111,-86.84701111
1.0000,83.0000,34.92465556,-86.81959444
1.0000,85.0000,32.03072500,-86.55864722
1.0000,125.0000,33.18432222,-87.34481111
1.0000,107.0000,33.28280000,-88.26166389
1.0000,105.0000,32.57542778,-87.37038889
1.0000,71.0000,34.65951389,-86.01837500
1.0000,69.0000,31.27000556,-85.44725556
1.0000,97.0000,30.60702778,-88.14657222
1.0000,95.0000,34.30089167,-86.27547778
1.0000,89.0000,34.78549167,-86.58020000
1.0000,51.0000,32.53559722,-86.20276111
1.0000,109.0000,,
1.0000,73.0000,33.70461667,-86.99154444
1.0000,3.0000,30.40005833,-87.49649167
1.0000,83.0000,34.67746111,-86.98832778
1.0000,87.0000,32.30342222,-85.44602500
1.0000,41.0000,31.84670833,-86.22269444
1.0000,43.0000,34.00209167,-86.80318056
1.0000,51.0000,32.48721667,-86.40871667
1.0000,97.0000,30.46701667,-88.34343333
1.0000,101.0000,32.36802778,-86.06650833
1.0000,127.0000,33.62032222,-87.26780556
1.0000,93.0000,34.29459722,-87.80440556
1.0000,71.0000,34.55229167,-85.93144167
1.0000,3.0000,30.48699444,-87.85295833
1.0000,29.0000,33.63279444,-85.54402222
1.0000,97.0000,30.75556667,-88.21683889
1.0000,87.0000,32.51711389,-85.57998889
