LONGITUDE,LATITUDE,,
115.78147,40.82716,,
-68.33751667,44.22256667,,
-68.474169,45.712753,,
-68.595032,47.252677,,
-70.048238,41.390067,,
-70.225,44.0923,,
-70.2251,44.09231,,
-70.66211,41.957871,,
-70.886522,42.243473,,
-70.887228,42.241088,,
-70.887925,42.242978,,
-70.92116,41.63492,,
-70.92707,41.63495,,
-70.92713,41.63517,,
-70.92756,41.6352,,
-71.063336,42.357577,,
-71.13027,41.68749,,
-71.132395,42.234781,,
-71.30852,42.64331,,
-71.31289,42.64486,,
-71.38258,41.87778,,
-71.38261,41.87771,,
-71.38271,41.87755,,
-71.401864,41.933325,,
-71.54102,42.13113,,
-72.496532,42.597667,,
-73.285074,42.356855,,
-73.683691,41.508212,,
-73.683691,41.508212,,
-73.699733,42.763205,,
-73.72367,41.54815,,
-73.747581,42.654087,,
-73.913602,42.801234,,
-73.940389,41.706411,,
-73.943334,42.813928,,
-73.962911,40.81303,,
-73.973546,42.575243,,
-73.981893,40.768082,,
-74.044633,40.689278,,
-74.068301,41.742283,,
-74.076504,42.65826,,
-74.088455,41.592558,,
-74.164549,40.734698,,
-74.186583,42.734664,,
-74.29913,42.680605,,
-74.31416667,40.02861111,,
-74.325742,40.03034,,
-74.346699,44.25202,,
-74.397612,42.942735,,
-74.397612,42.942735,,
-74.53144,40.561596,,
-74.568326,40.248029,,
-74.60561156,40.31342771,,
-74.67222691,40.2684668,,
-74.67415273,40.32764874,,
-74.67579424,40.26381474,,
-74.67983365,40.30832876,,
-74.68093872,40.32217459,,
-74.68285918,40.2521576,,
-74.68316495,40.30225984,,
-74.70472991,40.2344992,,
-74.70876127,40.23042022,,
-74.71865058,40.22799975,,
-74.74723488,40.21372908,,
-74.74856257,40.21574247,,
-74.75497305,40.20968367,,
-74.75549877,40.22020532,,
-74.75550145,40.22003124,,
-74.75554168,40.21933489,,
-74.75574017,40.22018279,,
-74.75574285,40.21966054,,
-74.7559467,40.2192202,,
-74.75598693,40.21984077,,
-74.75616127,40.21892118,,
-74.7565341,40.21944344,,
-74.75664407,40.22008244,,
-74.75668967,40.22103887,,
-74.75680232,40.22002304,,
-74.75694716,40.20611122,,
-74.757092,40.19539275,,
-74.75762844,40.19580661,,
-74.7578001,40.196411,,
-74.75793958,40.19766688,,
-74.75798249,40.19696621,,
-74.75816756,40.19797829,,
-74.75829095,40.19809097,,
-74.75829363,40.19811145,,
-74.75829363,40.19811145,,
-74.75829363,40.19811145,,
-74.75829363,40.19811145,,
-74.75831111,40.19813333,,
-74.7583124,40.19813604,,
-74.7583124,40.19813604,,
-74.7583124,40.19813604,,
-74.75834459,40.19825896,,
-74.75836111,40.19824444,,
-74.75841165,40.19845564,,
-74.75841944,40.19831389,,
-74.75841944,40.19831389,,
-74.75841944,40.19831389,,
-74.75841969,40.19831428,,
-74.75844722,40.19856111,,
-74.75844722,40.19856111,,
-74.75844722,40.19856111,,
-74.7584492,40.19856217,,
-74.75850284,40.19875475,,
-74.75855556,40.19893889,,
-74.75855556,40.19893889,,
-74.75855556,40.19893889,,
-74.75855649,40.19894118,,
-74.75858331,40.21272748,,
-74.75870669,40.19916653,,
-74.75871742,40.19917473,,
-74.75873351,40.22049409,,
-74.75877911,40.20056372,,
-74.75905269,40.20096526,,
-74.75928068,40.22049614,,
-74.759597,40.213392,,
-74.760287,40.21695,,
-74.76055205,40.21417354,,
-74.76089001,40.21443162,,
-74.761439,40.218546,,
-74.76145059,40.218753,,
-74.761552,40.218355,,
-74.761732,40.218948,,
-74.76222843,40.22131945,,
-74.76224444,40.22131944,,
-74.7622472,40.22131945,,
-74.762261,40.215779,,
-74.76231962,40.22130716,,
-74.76279974,40.22012545,,
-74.76291239,40.22218576,,
-74.763092,40.216584,,
-74.76321667,40.22028056,,
-74.76321667,40.22028056,,
-74.76321667,40.22028056,,
-74.76391554,40.22030567,,
-74.76395,40.217926,,
-74.76395,40.217926,,
-74.7640121,40.2195438,,
-74.76404,40.21841,,
-74.76478189,40.22575326,,
-74.76478457,40.22573688,,
-74.764787,40.225825,,
-74.76480603,40.20686916,,
-74.765305,40.207586,,
-74.76541221,40.21302448,,
-74.76552218,40.22220828,,
-74.765627,40.222358,,
-74.765662,40.213045,,
-74.765726,40.213024,,
-74.765729,40.222362,,
-74.7658655,40.22247657,,
-74.76599,40.220406,,
-74.76599,40.220406,,
-74.76603985,40.22134607,,
-74.766096,40.22022,,
-74.76612031,40.21843988,,
-74.766246,40.2193,,
-74.76638,40.220459,,
-74.766383,40.210402,,
-74.76649046,40.22027291,,
-74.76664,40.22051,,
-74.76826608,40.22049,,
-74.768357,40.21913,,
-74.76849675,40.21852795,,
-74.76849675,40.21852795,,
-74.76849675,40.21852795,,
-74.76849675,40.21852795,,
-74.768507,40.219478,,
-74.7686,40.219421,,
-74.76874352,40.21834771,,
-74.76875693,40.21944959,,
-74.76879,40.219615,,
-74.768942,40.220607,,
-74.769039,40.219775,,
-74.76917267,40.22067023,,
-74.76917267,40.22067023,,
-74.771364,40.221256,,
-74.77223307,40.22000871,,
-74.775192,40.222784,,
-74.78401065,40.22712123,,
-74.78741437,40.23659183,,
-74.78794277,40.23737604,,
-74.78816539,40.236925,,
-74.78843361,40.2371201,,
-74.789987,40.236903,,
-74.791709,40.238338,,
-74.8052752,40.24107174,,
-74.80905175,40.24853417,,
-74.886155,40.671102,,
-74.89256501,40.6660888,,
-74.89271,40.665965,,
-74.89375591,40.66499016,,
-74.894285,40.671418,,
-74.896127,40.669482,,
-74.903798,40.660294,,
-74.94886,40.659004,,
-74.97079,40.65086,,
-75.05495,38.45131111,,
-75.05495,38.45136667,,
-75.09579,40.92115,,
-75.107407,41.013357,,
-75.14156,40.066916,,
-75.14164,40.064783,,
-75.18748,40.9904,,
-75.1876,40.9901,,
-75.1876,40.9901,,
-75.1908,40.98573,,
-75.19322,40.9857,,
-75.19795,40.9843,,
-75.19795,40.9843,,
-75.363201,39.869526,,
-75.383517,38.692092,,
-75.3855,38.69026,,
-75.385598,38.690271,,
-75.385598,38.689948,,
-75.386043,38.689919,,
-75.46733,35.59567,,
-75.510503,38.525943,,
-75.51883,35.26918,,
-75.518926,39.836042,,
-75.52014444,39.15669167,,
-75.5204,35.26579,,
-75.52042,35.26579,,
-75.52051944,39.15761389,,
-75.52057778,39.15706667,,
-75.52273889,39.15615556,,
-75.52304722,39.15464722,,
-75.52335,39.15637778,,
-75.52346389,39.15603333,,
-75.523525,39.15596389,,
-75.52462,35.26502,,
-75.52669444,39.1561,,
-75.52669444,39.1561,,
-75.54668056,39.743375,,
-75.54708333,39.74340278,,
-75.54979444,39.74074167,,
-75.56179,35.83809,,
-75.56212222,39.65786944,,
-75.56254444,39.65849722,,
-75.56281667,39.65972778,,
-75.56298333,39.65974722,,
-75.56403333,39.66001944,,
-75.56971,38.558069,,
-75.56985,38.551064,,
-75.57078,38.554856,,
-75.571282,38.456067,,
-75.57237,38.556862,,
-75.587268,38.721278,,
-75.59043,38.596749,,
-75.609798,38.634573,,
-75.613017,38.642123,,
-75.614841,38.639953,,
-75.621225,38.657759,,
-75.63447,35.97599,,
-75.64896,38.688319,,
-75.655954,38.59913,,
-75.657681,38.60043,,
-75.66013,35.88893,,
-75.66177,35.89046,,
-75.66354,36.01778,,
-75.67409722,35.9059,,
-75.67642,35.91208,,
-75.67643,35.91206,,
-75.69096389,39.85748056,,
-75.69096389,39.85748056,,
-75.7093,35.9369,,
-75.71421667,39.5182,,
-75.71931,35.92805,,
-75.71933,35.92803,,
-75.719345,35.928037,,
-75.72342,35.92709,,
-75.72354,35.927455,,
-75.76131,35.88565,,
-75.78039,35.18966,,
-75.81752,36.32657,,
-75.8655,36.2058,,
-75.92757,36.53718,,
-75.95867,36.34433,,
-75.99842,35.50867,,
-76.011486,36.914902,,
-76.01428,36.44672,,
-76.01604,36.449875,,
-76.052486,36.91796,,
-76.07961,36.842143,,
-76.086,36.37756,,
-76.08609,36.37751,,
-76.09342,36.40517,,
-76.113651,36.894282,,
-76.113791,36.893998,,
-76.11823,36.30292,,
-76.125587,36.874003,,
-76.132298,36.86624,,
-76.134111,36.852188,,
-76.16906,35.44352,,
-76.170616,36.327608,,
-76.17179,36.32785,,
-76.1718,36.3279,,
-76.18063,36.31557,,
-76.18941,36.84102,,
-76.19268,36.55028,,
-76.2103,35.44117,,
-76.21762,36.28272,,
-76.21861,36.29641,,
-76.21865,36.29654,,
-76.21892,36.29816,,
-76.219389,36.299199,,
-76.22084,36.29707,,
-76.22307,36.30229,,
-76.22334,36.30152,,
-76.227152,36.296355,,
-76.230124,36.295771,,
-76.23032,36.29572,,
-76.25103,36.954453,,
-76.25215,35.9177,,
-76.2557,36.957702,,
-76.28023,36.85319,,
-76.28326,36.85157,,
-76.28424,36.85164,,
-76.28525,36.847,,
-76.28561,36.847998,,
-76.28572,36.85144,,
-76.28943,36.85103,,
-76.29004,36.84875,,
-76.29109,36.843722,,
-76.2923,36.8463,,
-76.292501,36.967149,,
-76.29273,36.84644,,
-76.29373,36.41917,,
-76.29379,36.84686,,
-76.29408,36.845856,,
-76.29410833,36.84683889,,
-76.29411,36.846839,,
-76.29422778,36.84769722,,
-76.29423,36.847698,,
-76.29423,36.847698,,
-76.29428,36.845637,,
-76.29447,36.846148,,
-76.29487,36.8455,,
-76.2953,36.846547,,
-76.29883,36.83537,,
-76.29943,36.83663,,
-76.3008,36.83415,,
-76.30102,36.83451,,
-76.30109,36.83531,,
-76.30164,36.83528,,
-76.30236,36.83482,,
-76.3038,36.83409,,
-76.311963,36.955469,,
-76.316335,36.946153,,
-76.32746,36.44693,,
-76.33177,35.40912,,
-76.340974,36.746029,,
-76.34323,39.72116,,
-76.381121,36.60583,,
-76.38812,35.8734,,
-76.39095,35.87263,,
-76.39165,35.87257,,
-76.39172,35.87252,,
-76.43131,36.21273,,
-76.44776,36.20381,,
-76.44776,36.20388,,
-76.45326,36.19407,,
-76.45799,37.101591,,
-76.463728,36.770891,,
-76.46666,36.18803,,
-76.466977,36.186803,,
-76.498017,36.760191,,
-76.51464,37.333582,,
-76.51493,37.334474,,
-76.52245,35.93982,,
-76.52245,37.345034,,
-76.52248,37.345066,,
-76.52252,37.345136,,
-76.52256,37.345196,,
-76.52264,37.345345,,
-76.52267,37.345371,,
-76.52781,34.685,,
-76.52793,34.68505,,
-76.575458,36.550729,,
-76.57562,36.55076,,
-76.57654,36.53389,,
-76.57837,36.484,,
-76.5815,36.8265,,
-76.582239,36.880556,,
-76.58565,36.94055,,
-76.585844,36.936884,,
-76.586525,36.938393,,
-76.589534,36.851621,,
-76.59003,35.92535,,
-76.598187,37.455114,,
-76.604866,36.961029,,
-76.60665,36.06061,,
-76.60787,36.06182,,
-76.6081,36.0608,,
-76.60821,36.06134,,
-76.60825,36.06128,,
-76.60829,36.06108,,
-76.60834,36.06015,,
-76.60835,36.06009,,
-76.60841,36.06082,,
-76.60851,36.06047,,
-76.60893,36.05992,,
-76.60926,36.06003,,
-76.60945,36.06003,,
-76.60974,36.06011,,
-76.61152,36.06055,,
-76.61733,36.06159,,
-76.61881,35.87564,,
-76.62586,37.031405,,
-76.62586,37.031405,,
-76.63421,37.01386,,
-76.63421,37.01386,,
-76.65993,34.71369,,
-76.66354,34.71997,,
-76.66359,34.71992,,
-76.66362,34.71988,,
-76.663907,37.034642,,
-76.66398,34.71809,,
-76.6645,37.667516,,
-76.66846,34.78911,,
-76.67775,34.6973,,
-76.67918333,39.76508333,,
-76.6796,39.7669,,
-76.68881,34.69499,,
-76.69328,37.07486,,
-76.6947,35.02894,,
-76.70495,36.21811,,
-76.70543,34.72062,,
-76.70648,34.72069,,
-76.70729,34.72076,,
-76.70747,34.72082,,
-76.70936,36.04142,,
-76.717379,40.153055,,
-76.72005,39.94606667,,
-76.72065,37.743346,,
-76.72313333,39.96395,,
-76.7232,39.96381667,,
-76.72335,37.09247,,
-76.72673333,39.9629,,
-76.72686667,39.96113333,,
-76.7274,39.96238333,,
-76.727668,39.962599,,
-76.72775,39.96271667,,
-76.72775,39.95958333,,
-76.72788333,39.962,,
-76.72793333,39.962,,
-76.72801667,39.96256667,,
-76.728408,39.962147,,
-76.7286,39.96243333,,
-76.72891667,39.962,,
-76.72946667,39.9616,,
-76.72958,37.104719,,
-76.72965,39.9574,,
-76.72971667,39.96196667,,
-76.72985,39.9619,,
-76.730028,37.105583,,
-76.73085,39.96163333,,
-76.73096667,39.96416667,,
-76.7314,39.9614,,
-76.7314,39.9614,,
-76.73153333,39.96146667,,
-76.731716,39.961245,,
-76.73171667,39.96293333,,
-76.73186667,39.96125,,
-76.73196667,39.96133333,,
-76.73206667,39.9613,,
-76.7321,39.9729,,
-76.73297,35.87069,,
-76.73413333,39.95883333,,
-76.73818,34.72332,,
-76.73922,35.86923,,
-76.74156667,40.02363333,,
-76.7416,39.96271667,,
-76.745424,37.110571,,
-76.74778,35.86206,,
-76.74853,35.86671,,
-76.74911,35.86157,,
-76.74965,35.86482,,
-76.7507,34.70109,,
-76.75203,34.72417,,
-76.75204,36.40341,,
-76.75257,34.72426,,
-76.75348,34.72437,,
-76.7546,39.95438333,,
-76.75468333,39.95418333,,
-76.75857,35.86301,,
-76.75985,35.84809,,
-76.76207,37.784418,,
