"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"59","TOLLAND COUNTY",2007,"8395","6.3","74700",133253.968253968,16,0.0120071471113758,25.3
"60","TOLLAND COUNTY",2008,"9076","6.8","75251",133470.588235294,15,0.0112384310268841,25.3
"61","TOLLAND COUNTY",2009,"9140","6.7","78471",136417.910447761,7,0.00513129102844639,25.3
"62","TOLLAND COUNTY",2010,"8794.00","6.40","74868.00",137406.25,21,0.0152831476006368,25.3
"63","TOLLAND COUNTY",2011,"10966.00","8.00","77124.00",137075,11,0.00802480393944921,25.3
"64","WINDHAM COUNTY",2003,"9041","8.1","45996.00",111617.283950617,17,0.0152306160822918,25.9
"65","WINDHAM COUNTY",2004,"10592.00","9.40","47306.00",112680.85106383,20,0.0177492447129909,25.9
"66","WINDHAM COUNTY",2005,"9983.00","9.00","48630.00",110922.222222222,13,0.01171992387058,25.9
"67","WINDHAM COUNTY",2006,"10499","9.3","53802",112892.47311828,23,0.0203733688922755,25.9
"68","WINDHAM COUNTY",2007,"9571","8.5","57339",112600,13,0.0115452930728242,25.9
"69","WINDHAM COUNTY",2008,"13235","11.7","54027",113119.658119658,23,0.0203324518322629,25.9
"70","WINDHAM COUNTY",2009,"11111","9.8","56342",113377.551020408,25,0.022050220502205,25.9
"71","WINDHAM COUNTY",2010,"13447.00","11.80","56564.00",113957.627118644,19,0.0166728638357998,25.9
"72","WINDHAM COUNTY",2011,"12021.00","10.60","54911.00",113405.660377358,18,0.0158722236086848,25.9
