"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"41","GRANT COUNTY","Kentucky",0.0267585484688227,995,613.962370485385,10534.2768536154,34083.8347030769,7016.74114216154,86164.1932476923,156296.676192308,57944.3803953846,11232.8027776923
"42","GRAVES COUNTY","Kentucky",0.0241281869176525,996,885.211917422,28024.3208693333,23177.7831610667,11259.3262127333,46733.522504,109490.015284,41493.673818,10245.325109
"43","GRAYSON COUNTY","Kentucky",0.0262770511844977,997,1290.9448542,9847.97256771429,48618.4981,8118.68654042857,128889.410042857,119526.571671429,46545.74757,4877.15004881429
"44","GREEN COUNTY","Kentucky",0.01473052554815,998,2496.42664675,36074.01045,38574.2842425,6530.90945225,128115.756175,180245.952475,41267.105485,4504.97905475
"45","GREENUP COUNTY","Kentucky",0.0187306395868856,999,1335.89080880833,17104.22729075,11169.8958699167,6315.24223158333,154730.278041667,174929.357166667,104990.7624425,2735.33066860833
"46","HANCOCK COUNTY","Kentucky",0.0286822655916088,1000,752.246763225,24260.9379075,53804.4427825,7838.0317985,146811.76605,62906.56015,100083.1845625,10300.807915
"47","HARDIN COUNTY","Kentucky",0.0194828716613911,1001,847.725776496,8131.262259008,24776.08448632,4871.3316343668,155836.263944,145366.370016,37344.752454,3846.746314672
"48","HARLAN COUNTY","Kentucky",0.032069692646162,1002,743.088188944375,52303.65001625,21261.288730625,12276.7512720625,62175.07311625,73605.744275625,98000.60076625,3371.20549706875
"49","HARRISON COUNTY","Kentucky",0.0206083198577758,1003,1585.0393976625,29045.467395,7518.4508185,5982.3496095625,119080.51465,180494.305025,30730.4749225,5517.80899175
"50","HART COUNTY","Kentucky",0.0503839957127551,1004,1772.29308861111,11290.6928992222,15433.3045493333,7770.49613441111,111969.894977778,146465.397933333,17430.2677801111,6770.98799
"51","HENDERSON COUNTY","Kentucky",0.0210868450652187,1005,1134.70064622583,9738.94286341667,19891.5624641667,3938.87832238333,131192.009983333,22810.6805516667,98072.9812583333,4070.46160496667
"52","HENRY COUNTY","Kentucky",0.0234123482127858,1006,1071.26738418,15835.086031,12708.5726756,6485.0370993,125411.7115,138967.84722,48824.108534,12689.3163284
"53","HICKMAN COUNTY","Kentucky",0.0627723109597043,1007,1150.24595828,30189.121712,15302.6034606,8853.0749468,27329.951048,128443.5969,56802.677164,7839.9241768
"54","HOPKINS COUNTY","Kentucky",0.0192018559417103,1008,880.791973696429,10362.1627141429,21889.490536,4250.66904330786,71924.588435,48279.4147392857,52207.6564914286,7359.9411435
"55","JACKSON COUNTY","Kentucky",0.0321744725683542,1009,1745.59371268571,33813.6964842857,30093.4628857143,7316.85397328571,141935.3467,149846.572814286,100387.53921,1776.9129218
"56","JEFFERSON COUNTY","Kentucky",0.0110003857116837,1010,771.497755883539,3966.49477962585,6391.79813757,2125.11379349615,173001.68601,130051.169393846,46840.4170900769,1374.31807123454
"57","JESSAMINE COUNTY","Kentucky",0.0179468067528381,1011,1450.91842512857,7300.52322657143,15046.8997328571,4554.7311492,172486.575271429,214162.407742857,29084.91824,4655.04595971429
"58","JOHNSON COUNTY","Kentucky",0.023076842701673,1012,1122.70790651667,13368.4366833333,4621.09579133333,3110.92225516667,137011.555133333,144337.882366667,95212.86107,2174.96584548333
"59","KENTON COUNTY","Kentucky",0.00756333281507728,1013,617.35911115,4853.72351785,7451.14672889,3156.485309666,47216.024353,120288.488535,69588.8412565,2312.864438825
"60","KNOTT COUNTY","Kentucky",0.0400510688102507,1014,1396.76362150833,29725.3109875,23313.9119678333,5626.17121966667,85951.2844041667,94145.788195,103227.039970833,1437.82146864167
"61","KNOX COUNTY","Kentucky",0.0302570239141526,1015,936.2243697625,17769.2823195,23911.1819675,9691.1736293125,95224.34205,99979.346538125,107712.4709925,3687.063222475
"62","LARUE COUNTY","Kentucky",0.0321533772787455,1016,1099.66415756667,8880.65683566667,43529.79341,8056.51594333333,150452.560066667,164833.350266667,23043.86979,5791.91792933333
"63","LAUREL COUNTY","Kentucky",0.0318783967337281,1017,1816.3179820037,10139.7781745926,13055.7488832593,5868.43379253704,117379.808725926,119388.810262963,118044.373985185,2444.4685721037
"64","LAWRENCE COUNTY","Kentucky",0.0261662478453847,1018,1847.2847444,17017.328253,28796.8305633333,9487.72441433333,164031.186166667,168190.547716667,101311.70856,4000.37744116667
"65","LEE COUNTY","Kentucky",0.0387350995237635,1019,1496.734135,42430.82673,50072.514515,8108.4886585,153502.0976,162635.7198,89900.369995,2524.86818
"66","LESLIE COUNTY","Kentucky",0.0417730714917505,1020,618.049611925,28697.9634475,8646.5096755,7643.52978475,88107.135915,97518.1968725,124516.13975,942.129649975
"67","LETCHER COUNTY","Kentucky",0.036031199154828,1021,1133.57299867462,41276.8690946154,25243.2799838462,3269.93452238462,66064.7765315385,73940.3386092308,89648.53253,1938.65151076154
"68","LEWIS COUNTY","Kentucky",0.030908760149735,1022,960.534328475,25230.5601,12857.831314,5171.03294825,133888.19405,157268.611025,102726.600135,3782.03234415
"69","LINCOLN COUNTY","Kentucky",0.0363917317541662,1023,1185.96592549857,23875.6664742857,54630.8441228571,10535.8733685,164656.383371429,173010.546814286,68676.5928464286,4739.32912598571
"70","LIVINGSTON COUNTY","Kentucky",0.0396836744934352,1024,401.7870557,14170.07542,14382.1102445,8547.27556425,91864.032815,89925.528015,14057.579925,5205.0442845
"71","LOGAN COUNTY","Kentucky",0.0249206824447833,1025,2268.3623126,29586.8418155556,32295.16479,10171.9710908778,44217.0509377778,53471.5179366667,36978.0868,3931.18938905556
"72","LYON COUNTY","Kentucky",0.0328569182012469,1026,1006.020869975,10470.602475,33663.768315,7108.5279639775,68548.398575,51732.17844,49738.889305,9309.2543775
"73","MADISON COUNTY","Kentucky",0.0222979087601254,1027,963.065912535484,11905.4358230968,38206.1733712903,4360.77954581936,181523.315519355,188020.472867742,57008.7752577419,3505.20790837097
"74","MAGOFFIN COUNTY","Kentucky",0.0227628444220152,1028,1296.68930964,30780.066654,24305.51397,4571.85343282,134770.31908,142844.85716,113331.20798,2622.0158064
"75","MARION COUNTY","Kentucky",0.0332768209227791,1029,1142.1585216,37757.3684141667,65159.0787908333,8247.74220133333,168038.926225,197018.753191667,18988.472375925,4316.61919308333
"76","MARSHALL COUNTY","Kentucky",0.0283791211656037,1030,1067.1226946,10214.3250929167,31727.855185,3253.43361281667,80388.9436,75309.7334383333,31256.540635,4831.73686333333
"77","MARTIN COUNTY","Kentucky",0.0281449399961504,1031,1735.45134383333,26127.9128633333,24169.4991066667,5407.00413716667,139261.519816667,140342.781666667,72045.83764,1414.17739817
"78","MASON COUNTY","Kentucky",0.0269578286065899,1032,2000.33620108333,6666.5130815,27697.8842366667,2925.81959016667,104912.208961667,149512.768816667,77521.307375,7477.1715725
"79","MCCRACKEN COUNTY","Kentucky",0.0207097718306535,1033,865.813281465833,9553.81352258333,10050.3492712083,3047.40393613792,78393.77105875,103076.432121667,8583.51986904167,2914.52948847917
"80","MCCREARY COUNTY","Kentucky",0.0268507517533534,1034,1689.08462966667,24325.6283666667,26773.9023133333,7278.14899333333,81081.09979,92360.8810266667,97687.06111,4857.05924166667
"81","MCLEAN COUNTY","Kentucky",0.0241665418062398,1035,1872.84556353333,25257.0228533333,44914.13775,20498.6052933333,105966.530353333,49347.7563666667,82362.2491433333,10298.2645753333
"82","MEADE COUNTY","Kentucky",0.0289852552108306,1036,2930.606242775,17048.0861480833,17857.2316235,4376.89480780917,174783.718466667,118259.1535,60078.6151333333,7273.28507891667
