"","County","Fatalities.Count","X","State","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"38","OR",425.444444444444,38,"Oregon",2360.276903,34316.24788,37264.09999,9567.291032,121860.5147,258509.6246,109534.8842,7728.14998
"39","PA",1448.11111111111,39,"Pennsylvania",1124.89049,17242.97448,17300.71853,4046.472291,92972.36044,80075.9548,51977.95974,2698.316693
"40","RI",78.3333333333333,40,"Rhode Island",1016.501556,6990.424279,5328.262461,1676.642691,20783.58448,31226.28705,20989.06922,1283.788205
"41","SC",964.777777777778,41,"South Carolina",1368.813623,12921.90455,13421.77688,4985.094765,108656.0019,85572.66692,31619.24559,1731.590509
"42","SD",158.444444444444,42,"South Dakota",3249.625409,25618.37369,50567.72674,7278.205217,294055.1079,145077.3698,88375.32948,7369.302555
"43","TN",1144.88888888889,43,"Tennessee",1162.498509,13335.79913,11518.95965,5980.165647,41664.18704,99202.44666,56718.72784,1781.270025
"44","TX",3408,44,"Texas",2474.834438,19284.79375,22655.50051,8588.378363,117636.0647,130455.3945,139447.0163,9981.089405
"45","UT",276.222222222222,45,"Utah",4145.025938,26870.86065,26419.8707,10845.43998,488707.0857,86152.7648,67557.53342,10136.68737
"46","VA",876.444444444444,47,"Virginia",1429.179256,19288.07615,12380.83828,5192.442304,62396.73097,36683.41369,18211.65845,2237.581607
"47","VT",74,46,"Vermont",1380.902438,17352.23498,11801.77923,4570.79839,147656.4281,176226.3247,116696.0205,2298.191406
"48","WA",550,48,"Washington",2584.413273,17468.34739,21833.99755,6236.200923,56162.96468,115838.5687,153063.9962,5746.241415
"49","WI",695,50,"Wisconsin",2631.471727,17051.55143,14363.74319,5985.195312,252647.0046,97074.25433,49625.4907,2983.019837
"50","WV",378.555555555556,49,"West Virginia",1205.748059,34007.12939,13505.29336,5973.52722,138869.0086,119190.833,46876.9373,1878.446949
"51","WY",158.555555555556,51,"Wyoming",3433.361075,31462.23094,30049.76709,9365.937694,372266.915,230033.9542,158449.3208,9049.3034
