"","County","State","Fatalities.Count","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALACHUA COUNTY","Florida",38.2222222222222,304,2868.11277953304,9976.83397219565,8864.17783723478,4120.20805862391,32544.8288167391,60535.2265704348,24714.4333211304,3199.31851683043
"2","BAKER COUNTY","Florida",11.3333333333333,305,1425.85866989545,6560.57298105227,7221.95440988182,3344.37473223136,40621.3323195455,44284.3627677273,50011.4631290909,3835.34906699091
"3","BAY COUNTY","Florida",31.4444444444444,306,2373.33944331902,13354.0451362737,12759.137913261,2693.9682972822,86447.1365053659,17277.9049548634,198635.995582927,5920.61273560244
"4","BRADFORD COUNTY","Florida",8.33333333333333,307,1506.11651978571,22223.6361683657,8585.40019078571,2117.18035168571,41301.3621907143,46097.1064064286,21529.1364028571,3642.03555975
"5","BREVARD COUNTY","Florida",81.1111111111111,308,1553.70341980388,5973.39561458915,8470.67575380388,3841.66798755922,15118.9466515039,13894.5504372147,53211.8663917054,3938.03233863016
"6","BROWARD COUNTY","Florida",212.555555555556,309,903.660961008276,3513.80532662201,3074.36787567423,1990.30242957113,2944.340631859,8194.36615330658,139715.238905643,1057.32452022326
"7","CALHOUN COUNTY","Florida",4.55555555555556,310,1553.7359449625,34029.2121,18806.059211125,7447.9435240625,63168.56039,75779.07508875,202376.368175,9261.076658
"8","CHARLOTTE COUNTY","Florida",29.3333333333333,311,1053.18442886773,9145.98976045,7196.35057302727,3917.03516706932,42088.1091120455,15343.3576297727,33904.1115243182,5462.96890510455
"9","CITRUS COUNTY","Florida",27.7777777777778,312,4811.38447247,8174.4804189,8594.525409385,3820.76374263,32812.2547345,19398.51448685,9543.293505185,3211.5694308975
"10","CLAY COUNTY","Florida",21.3333333333333,313,1997.66893578929,16652.5434099893,12296.7577578929,4680.97169432,14029.2715432679,19604.6351144393,40881.6646478571,4301.66640373929
"11","COLLIER COUNTY","Florida",50.4444444444444,314,1279.61798659786,15967.9057884471,23873.2757406971,6939.83294719986,54104.0782181429,23910.1386963,124436.849198571,6535.55327029743
"12","COLUMBIA COUNTY","Florida",29.5555555555556,315,2269.886187268,11505.602190624,12519.346227342,3959.6439753962,81050.9685434,90422.563807,27078.91329788,5691.782218324
"13","DIXIE COUNTY","Florida",6.33333333333333,317,4418.8815840125,70834.0071725,65805.9098775,18602.152395,70876.1031525,87980.88508375,68386.0338475,10715.5585872
"14","DUVAL COUNTY","Florida",128.111111111111,318,792.912329697187,4510.66457189828,7789.4112546526,2022.07170133594,7739.50243963005,12127.0112245479,54773.5902770313,2164.45258882458
"15","ESCAMBIA COUNTY","Florida",49.3333333333333,319,1112.68820491519,8258.11599779367,8511.10571846203,2109.58858537759,19619.6611004937,13182.4836047861,77762.3217770886,2033.6382926962
