"","County","Fatalities.Percent","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","AK",0.011418200682466,13159.07673,323058.007,555688.8443,37346.20907,1923689.157,561287.7085,2544618.523,302936.4463
"2","AL",0.0225818964508768,1278.122311,17885.21042,12862.58438,6326.884745,60730.10062,175959.0399,84305.75143,2677.498394
"3","AR",0.0226944274140279,1295.495551,21925.89648,14503.73285,6832.137138,165158.5485,115232.3925,144723.7401,3308.015206
"4","AZ",0.0167509924130758,2311.271858,28328.37702,31413.28132,11897.01495,104594.7218,175420.527,239469.9079,9117.741071
"5","CA",0.0102242818164327,2022.178285,14997.50976,12837.2803,5641.79473,63708.44316,124362.3097,40698.75359,3822.203373
"6","CO",0.0115625333067984,2530.744318,27550.15289,35620.56718,9943.78409,137946.3745,120276.1699,109459.0526,13039.41131
"7","CT",0.00826328658228572,886.7093723,7120.261625,7651.273875,2499.400361,65868.11679,26332.24401,65423.49499,1879.22073
"8","DC",0.00714423786156546,550.9916967,1601.190461,1256.569038,709.4717594,384.4341363,7112.289508,2238.394327,380.3379465
"9","DE",0.0146545067175199,1401.231981,9954.543327,8359.452607,3245.652434,8476.397689,35313.08749,10845.65626,2295.05907
"10","FL",0.0168029561961745,2169.403832,18563.92565,14236.98794,5004.03005,38144.01172,56813.48906,78464.3569,5079.74537
"11","GA",0.0164886513154447,1497.44087,20971.43996,11529.62281,4310.879656,59015.77974,127148.9707,57436.23683,3311.666136
"12","HI",0.010062245391427,2979.469737,9342.507861,10240.39565,3837.62005,3825867.116,166134.9856,3780864.484,2700.835644
"13","IA",0.0141700752300283,1942.969885,13346.42514,6407.887784,5972.662481,83362.50114,89271.3031,129587.6886,4127.613439
"14","ID",0.0167165004951011,2784.955514,31437.04819,32514.40423,10767.16073,437998.1899,243152.3637,124876.5287,7711.12952
"15","IL",0.00930132512928913,1218.690128,13263.52929,12604.36023,5569.256695,97539.7301,69181.5773,64054.55701,1655.296028
"16","IN",0.0135661973370571,1151.322103,8051.01793,21121.79732,5807.954291,135078.6864,48807.31621,35927.98169,4127.633947
"17","KS",0.0157030128748095,1745.867985,29857.16437,37706.30415,7004.988383,234589.0019,156456.3662,124138.6703,5059.965293
