"","County","State","Fatalities.Percent","X","DIST_br","DIST_fu","DIST_ho","DIST_in","DIST_li","DIST_ma","DIST_hi","DIST_sc"
"1","ALAMEDA COUNTY","California",0.00614374250776765,174,590.659101638644,2072.92913148712,2872.73464502542,1006.08794434339,4957.74440074644,17094.4621886017,13920.6318914915,856.37241415678
"2","ALPINE COUNTY","California",0.214224393438547,175,4116.714746,33064.7952333333,36503.0862133333,13829.2880776667,121545.703866667,96255.7243033333,17458.5109333333,14514.060259
"3","AMADOR COUNTY","California",0.0358718813099445,176,4359.75358015294,9743.40773052824,11029.0607321176,6870.90678332353,56324.4814111765,119637.315206471,13317.9939503529,5051.51044952941
"4","BUTTE COUNTY","California",0.0151365313939004,177,1479.4494131086,8683.49269030175,7932.37631085263,4683.39148327632,54269.3140526316,153156.556292982,21648.9556998772,2497.9614545386
"5","CALAVERAS COUNTY","California",0.0280049412320829,178,1676.58458195684,15354.1987238421,16007.0051264211,8444.96703581526,53005.0200563158,120364.696510526,16656.2125273684,4180.75207231579
"6","COLUSA COUNTY","California",0.0453169963922917,179,998.348729433077,33562.0521976923,11051.325894,9278.67386723077,46703.4108546154,95541.839,49959.2449253846,3886.58626002308
"7","CONTRA COSTA COUNTY","California",0.00653959657706691,180,604.440560625952,2333.39354622964,4074.41986073583,1545.48405038845,23205.2117042024,12229.016622456,29620.9208096905,1075.74868249655
"8","DEL NORTE COUNTY","California",0.0375298020708083,181,1963.77753832563,21204.2540880937,22038.029704875,8536.5239165375,114936.21379625,388985.3151875,19257.802968625,6610.9934631125
"9","EL DORADO COUNTY","California",0.0147379666235004,182,1963.90380384937,11570.5429702875,13979.7755925,6795.54798501875,47251.755905,110956.0512125,9346.57283628125,2811.43009186562
"10","FRESNO COUNTY","California",0.0166888082459963,183,1545.0255614599,9220.43269422424,7658.4549317904,4075.19649299136,142613.299453687,221085.07054899,70707.2581051414,2347.80276332919
"11","GLENN COUNTY","California",0.033450265481272,184,916.3533659,14596.5710488,13255.481711,4169.22760529,74889.038515,143473.2981,52383.181876,3593.75981674
"12","HUMBOLDT COUNTY","California",0.0188974484680637,185,1067.62191556214,27285.2461400452,15754.7283807571,10749.1145013095,141790.378119048,277052.962847619,13460.8839195738,2503.24114655
"13","IMPERIAL COUNTY","California",0.0269344230583032,186,2062.84187558789,18225.4746139816,20755.6997873816,8994.07765353947,127011.811561316,148581.005577105,160149.321221053,10464.1146731974
"14","INYO COUNTY","California",0.0581593910530629,187,18828.0417412,61901.5604431333,32731.8583472267,16870.4442572,184659.519833333,216957.648892667,44703.1383798,17275.0968325333
"15","KERN COUNTY","California",0.0199997110271824,188,2294.57863741349,10555.0108262143,12658.5825494815,3962.19826497746,26827.7861439365,161575.704733915,67658.6010007831,3367.85489518439
"16","KINGS COUNTY","California",0.0272547959036997,189,1419.55784439931,15131.6578225517,10675.2363260724,3017.40347172931,115395.331913793,248408.210237931,91279.3677862069,3135.13908038276
"17","LAKE COUNTY","California",0.0249743390631564,190,1931.50324593103,19380.2855597931,10835.0643814379,4521.72137447931,85666.0607310345,60919.3013782759,22552.6873526414,3121.34451195172
"18","LASSEN COUNTY","California",0.0419722742193569,191,7502.6110936625,55720.459149375,25824.8634321875,9119.79016406937,146475.9694375,135702.265950625,100216.42904625,9668.74181459375
"19","LOS ANGELES COUNTY","California",0.00716208563560216,192,979.915003101486,2505.44413062506,3216.20524420122,1215.01991572072,7232.43711699798,19504.8615565486,21700.7306887021,1103.75314659715
"20","MADERA COUNTY","California",0.0275296136157125,193,1365.88282646933,12389.0890226044,9004.66213720889,6380.75958728889,111210.394297333,185123.346428889,72294.6000615556,2843.99318643778
"21","MARIN COUNTY","California",0.00381667937101769,194,704.62053862875,7031.7230008625,6931.03873305,3790.4049723125,18473.7528025,26509.18661125,18480.5530725,1775.3842551
"22","MARIPOSA COUNTY","California",0.0332021479316473,195,1308.86808433333,16057.3418672222,15684.8366348889,7964.22408938889,89643.9854544444,171631.936477778,22277.48007,3255.85206432222
"23","MENDOCINO COUNTY","California",0.0272923663704887,196,1144.53936844647,14283.5141711565,15600.9253682324,10072.6352715391,139034.312125882,124468.251407353,35069.8975185294,3822.66945353235
"24","MERCED COUNTY","California",0.0215568719276249,197,1348.17219941507,13051.7448438551,9233.96978478116,4875.6874447058,53877.071345942,119867.440578696,53789.7785410145,2700.38626267391
"25","MODOC COUNTY","California",0.0351149886725173,198,2100.629951675,25045.7153335,30829.2654645167,18867.3974161667,162558.5955,238854.894466667,78746.6753866667,7940.95411583333
"26","MONO COUNTY","California",0.03017610571752,199,5652.362252,42656.5965933333,27340.8290826667,6637.99079333333,177433.31715,193064.475683333,22716.2902723333,12577.9062493333
"27","MONTEREY COUNTY","California",0.0132968984481731,200,1539.09677680701,6121.36445424545,9033.10272378182,3322.26608707896,54526.48084,107665.774297273,44465.9233492857,1615.56193530519
"28","NAPA COUNTY","California",0.0127413299186462,201,1138.14195220056,5041.20382610556,8727.59921922222,4739.85704402778,22911.1463482222,39335.6003433333,39241.7701455556,2795.30969545556
"29","NEVADA COUNTY","California",0.0156536015888188,202,1464.54786403529,9434.56369737059,15297.1561704118,5747.65116919412,65877.0822394118,93041.9037352941,16963.4336155294,3216.29373285294
"30","ORANGE COUNTY","California",0.00596045462854868,203,638.71070207969,2025.68912713204,3456.06430916062,879.300052369292,6122.72284640168,7683.68066098717,11620.5468960606,998.382931042965
"31","PLACER COUNTY","California",0.00992244499396722,204,1482.98964516149,6428.93000276596,9248.17629706596,3833.51204764957,28505.1309582979,112762.764859149,7633.05262075106,2369.66635077021
"32","PLUMAS COUNTY","California",0.0319520651050436,205,2363.34563753333,36380.4769118333,14149.5247160833,10464.7603087333,108040.196275,116311.581428333,63457.0591716667,6205.1390805
"33","RIVERSIDE COUNTY","California",0.0139657570490064,206,1330.2610460996,6015.1380420218,8192.73606415013,3163.71907820477,23294.0810931328,72469.8549117963,49355.1368860617,3070.498515437
"34","SACRAMENTO COUNTY","California",0.00928989979243436,207,851.825577360731,2619.94181037425,5669.36055273498,1541.55081615201,4921.53713654192,85315.0128103196,10602.1221376521,1130.29297543708
"35","SAN BENITO COUNTY","California",0.0131103667127361,208,2238.50855172889,4796.68545233333,7556.65092606667,3419.21400947778,51070.7578077778,95099.2982122222,35567.2356255556,1851.54680508889
"36","SAN BERNARDINO COUNTY","California",0.0168685578784895,209,2213.67313500886,16179.6317344442,16776.6395983553,4706.57724264953,38845.6480686601,85225.7170224444,31480.0549017528,5637.53263619852
"37","SAN DIEGO COUNTY","California",0.0091451397844632,210,1019.72539077152,5382.67962403609,7518.35301546336,2802.69942473074,28527.6170560176,29015.2191061118,49826.92077973,1674.86489894234
"38","SAN FRANCISCO COUNTY","California",0.00524370631783838,211,815.339069168246,909.591657736667,1496.25674344386,526.419641475965,1545.57005288754,26317.5851045614,4471.73106378246,478.536133908772
"39","SAN JOAQUIN COUNTY","California",0.0150529061512428,212,938.986129060915,4691.87026961765,5722.90010998627,2331.16765296255,10084.6021657791,64453.6250547712,41724.1430107843,1510.60380433634
"40","SAN LUIS OBISPO COUNTY","California",0.0150587585171456,213,1703.05335292605,11610.7914052132,12272.2940891974,4301.57417622105,136114.256360526,240210.281689474,161482.084465789,3358.69273851316
"41","SAN MATEO COUNTY","California",0.00513905640393675,214,934.653966655625,3896.43331232172,4652.65436708906,2739.64295807156,6249.89749928094,19857.296501125,5258.7934281625,1239.14597572812
"42","SANTA BARBARA COUNTY","California",0.0110195243880327,215,1354.12710062018,5239.28068195179,9836.02569976429,3400.02325135054,80810.43296875,166362.408753571,113991.145558393,2394.8334302
"43","SANTA CLARA COUNTY","California",0.00549762657155243,216,639.358820547882,3034.34427020665,3580.96880185788,1235.941126409,21144.9903002647,32616.5984901353,5392.64231997235,1062.45015287135
"44","SANTA CRUZ COUNTY","California",0.00860305764603537,217,1054.10508509412,5230.75163005882,6084.21602864706,3077.73332488824,15576.5055154706,58935.5928247059,6789.41278670588,1759.43017388235
"45","SHASTA COUNTY","California",0.0154474425973545,218,1297.27299418698,10954.0395986465,13825.4390486837,5467.86641187442,21847.698060893,233131.466704651,18575.6613089535,2387.28427946744
"46","SIERRA COUNTY","California",0.0874257807312252,219,2028.21012664,33851.028782,22004.373944,3788.80854744,119956.923392,48560.33065,47187.463772,7577.4969004
"47","SISKIYOU COUNTY","California",0.028389579172232,220,3789.30108966905,35755.9089407286,31544.2362623,13859.9012489476,88508.8295514286,327025.418338095,63471.8183952381,7458.52653628095
"48","SOLANO COUNTY","California",0.010344674153336,221,883.544560919074,3889.8971622537,5740.01366982037,1720.06764199444,19296.2938802222,34890.6970603704,40302.9086142593,2097.03454953722
"49","SONOMA COUNTY","California",0.0102018613610237,222,1082.02658551531,5547.86876899375,7967.52380445938,3497.03516306453,41837.097627625,16289.5842035984,19248.4770677031,1756.10952864656
"50","STANISLAUS COUNTY","California",0.0144940304451822,223,1234.21020511827,7769.83113812449,6202.90784416327,3765.33179956551,13584.5234536133,85535.8069663265,25564.2318839082,1741.86841347959
"51","SUTTER COUNTY","California",0.0186062066546724,224,1993.11444413125,11616.4747325542,13996.5238435417,4129.4686309875,15569.5951784583,112394.31882625,39956.6751179167,2009.5522326875
"52","TEHAMA COUNTY","California",0.0258207178919795,225,923.6534577664,32557.99600096,8988.906328152,4775.362547768,57169.3412892,186429.742028,22850.37173516,2579.205399932
"53","TRINITY COUNTY","California",0.0576391833266487,226,2155.55738181429,35353.7410592143,31991.7050308571,10612.1533572929,72680.2647414286,244129.785042857,49135.4553678571,6045.507555
"54","TULARE COUNTY","California",0.0211174575468151,227,1779.27204749889,9607.60152654103,8804.45922518376,4707.95374352342,95066.3625468376,246522.144617949,62002.8500960684,2510.76258399949
"55","TUOLUMNE COUNTY","California",0.0307556779387335,228,2512.17083147278,21034.3414716111,21435.9104559778,11011.2382637944,71439.6566694444,145537.33105,15017.5350349167,3675.76008609444
"56","VENTURA COUNTY","California",0.00879046563626576,229,892.897971405784,4838.68787930784,6770.51653171706,2968.20039896794,13198.8170056738,70053.8490264706,65579.7561584314,2073.26785315255
"57","YOLO COUNTY","California",0.0124662852721585,230,1339.02756730552,4998.63261935172,8107.57952307931,3146.32014334931,13780.9188273241,75099.8210151724,17247.9132681069,2259.50853901379
"58","YUBA COUNTY","California",0.019913297492569,231,1728.87391869958,14413.2146979458,14431.9659459958,5266.61263458333,19992.8077321292,127733.0327875,35689.66081375,2163.71982135833
