"","County","Year","Poverty Count","Poverty Percent","Median Income","Population","Fatalities Count","Fatalities Percent","Commute"
"506","JESSAMINE COUNTY",2004,"5555.00","13.20","41200.00",42083.3333333333,8,0.019009900990099,23.1
"507","JESSAMINE COUNTY",2005,"5193.00","12.50","41980.00",41544,12,0.0288850375505488,23.1
"508","JESSAMINE COUNTY",2006,"5776","13.4","44249",43104.4776119403,15,0.0347991689750693,23.1
"509","JESSAMINE COUNTY",2007,"6106","14","47324",43614.2857142857,6,0.0137569603668523,23.1
"510","JESSAMINE COUNTY",2008,"5429","12.1","51579",44867.7685950413,7,0.0156013998894824,23.1
"511","JESSAMINE COUNTY",2009,"6455","14.1","46940",45780.1418439716,8,0.0174748257164988,23.1
"512","JESSAMINE COUNTY",2010,"7549.00","16.10","43503.00",46888.198757764,4,0.00853093124917208,23.1
"513","JESSAMINE COUNTY",2011,"8110.00","17.20","47280.00",47151.1627906977,3,0.00636251541307028,23.1
"514","JOHNSON COUNTY",2003,"5003","21.1","27838.00",23710.9004739336,7,0.0295222866280232,24.6
"515","JOHNSON COUNTY",2004,"5570.00","23.30","28391.00",23905.5793991416,5,0.0209156193895871,24.6
"516","JOHNSON COUNTY",2005,"5714.00","24.40","28619.00",23418.0327868852,7,0.0298914945747287,24.6
"517","JOHNSON COUNTY",2006,"6278","26.3","30026",23870.7224334601,7,0.0293246256769672,24.6
"518","JOHNSON COUNTY",2007,"5780","24.4","32706",23688.5245901639,9,0.0379930795847751,24.6
"519","JOHNSON COUNTY",2008,"6176","26","31116",23753.8461538462,5,0.0210492227979275,24.6
"520","JOHNSON COUNTY",2009,"5381","22.9","32063",23497.8165938865,3,0.012767143653596,24.6
"521","JOHNSON COUNTY",2010,"5351.00","23.40","34260.00",22867.5213675214,3,0.013119043169501,24.6
"522","JOHNSON COUNTY",2011,"5767.00","25.20","35068.00",22884.9206349206,3,0.0131090688399514,24.6
"523","KENTON COUNTY",2003,"16216","10.7","46730.00",151551.401869159,11,0.00725826344351258,22.3
"524","KENTON COUNTY",2004,"17346.00","11.30","47729.00",153504.424778761,16,0.0104231523117722,22.3
"525","KENTON COUNTY",2005,"16744.00","11.10","48673.00",150846.846846847,15,0.00994386048733875,22.3
"526","KENTON COUNTY",2006,"14558","9.5","52654",153242.105263158,13,0.00848330814672345,22.3
"527","KENTON COUNTY",2007,"19883","12.9","50734",154131.782945736,11,0.00713674998742644,22.3
"528","KENTON COUNTY",2008,"17152","11","52633",155927.272727273,6,0.00384794776119403,22.3
"529","KENTON COUNTY",2009,"20669","13.2","50957",156583.333333333,12,0.00766365087812666,22.3
"530","KENTON COUNTY",2010,"20906.00","13.30","51049.00",157187.969924812,9,0.00572562900602698,22.3
